"","Geneid","Length"
"68","ENSMUSG00000051285",6654
"69","ENSMUSG00000098201",388
"70","ENSMUSG00000103509",4028
"71","ENSMUSG00000048538",1299
"72","ENSMUSG00000103709",178
"73","ENSMUSG00000077244",130
"74","ENSMUSG00000102768",1012
"75","ENSMUSG00000097797",4339
"76","ENSMUSG00000103498",1124
"77","ENSMUSG00000103067",2596
"78","ENSMUSG00000102320",286
"79","ENSMUSG00000104226",2095
"80","ENSMUSG00000103903",881
"81","ENSMUSG00000103557",1214
"82","ENSMUSG00000025909",10908
"83","ENSMUSG00000102647",2532
"84","ENSMUSG00000086235",400
"85","ENSMUSG00000102253",3534
"86","ENSMUSG00000093970",110
"87","ENSMUSG00000103884",1164
"88","ENSMUSG00000084353",240
"89","ENSMUSG00000103933",198
"90","ENSMUSG00000076135",110
"91","ENSMUSG00000086195",340
"92","ENSMUSG00000104504",340
"93","ENSMUSG00000066693",626
"94","ENSMUSG00000102316",1050
"95","ENSMUSG00000103819",518
"96","ENSMUSG00000102871",3259
"97","ENSMUSG00000101571",960
"98","ENSMUSG00000104428",636
"99","ENSMUSG00000102272",1170
"100","ENSMUSG00000065625",103
"101","ENSMUSG00000103411",1406
"102","ENSMUSG00000061024",2048
"103","ENSMUSG00000025911",3780
"104","ENSMUSG00000079671",4910
"105","ENSMUSG00000081441",1102
"106","ENSMUSG00000067879",3256
"107","ENSMUSG00000099827",1067
"108","ENSMUSG00000025912",5402
"109","ENSMUSG00000045210",9749
"110","ENSMUSG00000097893",3101
"111","ENSMUSG00000025915",14311
"112","ENSMUSG00000046334",357
"113","ENSMUSG00000088916",105
"114","ENSMUSG00000046101",5916
"115","ENSMUSG00000098234",1146
"116","ENSMUSG00000093178",87
"117","ENSMUSG00000099032",4193
"118","ENSMUSG00000104025",1374
"119","ENSMUSG00000025916",1523
"120","ENSMUSG00000087199",656
"121","ENSMUSG00000095780",104
"122","ENSMUSG00000025917",3766
"123","ENSMUSG00000056763",17553
"124","ENSMUSG00000102356",920
"125","ENSMUSG00000067851",11318
"126","ENSMUSG00000088153",240
"127","ENSMUSG00000102556",1722
"128","ENSMUSG00000042501",6840
"129","ENSMUSG00000103810",2745
"130","ENSMUSG00000083422",1456
"131","ENSMUSG00000094979",107
"132","ENSMUSG00000081417",492
"133","ENSMUSG00000103448",1922
"134","ENSMUSG00000100212",1242
"135","ENSMUSG00000100648",759
"136","ENSMUSG00000088585",91
"137","ENSMUSG00000048960",16609
"138","ENSMUSG00000077318",128
"139","ENSMUSG00000101827",609
"140","ENSMUSG00000103494",3039
"141","ENSMUSG00000057715",9183
"142","ENSMUSG00000103825",2471
"143","ENSMUSG00000099845",262
"144","ENSMUSG00000103561",2144
"145","ENSMUSG00000101610",873
"146","ENSMUSG00000093864",107
"147","ENSMUSG00000098555",121
"148","ENSMUSG00000097628",807
"149","ENSMUSG00000098163",687
"150","ENSMUSG00000097171",3200
"151","ENSMUSG00000101314",853
"152","ENSMUSG00000016918",11294
"153","ENSMUSG00000025938",13137
"154","ENSMUSG00000104518",551
"155","ENSMUSG00000069620",321
"156","ENSMUSG00000099498",288
"157","ENSMUSG00000042414",2564
"158","ENSMUSG00000005886",15642
"159","ENSMUSG00000103506",2253
"160","ENSMUSG00000103495",1626
"161","ENSMUSG00000099183",82
"162","ENSMUSG00000102639",695
"163","ENSMUSG00000104170",1872
"164","ENSMUSG00000087782",112
"165","ENSMUSG00000103085",4642
"166","ENSMUSG00000102664",2248
"167","ENSMUSG00000101476",681
"168","ENSMUSG00000101171",644
"169","ENSMUSG00000025935",3162
"170","ENSMUSG00000025937",4566
"171","ENSMUSG00000102982",1266
"172","ENSMUSG00000067813",1926
"173","ENSMUSG00000077368",131
"174","ENSMUSG00000097711",997
"175","ENSMUSG00000102166",2249
"176","ENSMUSG00000089358",308
"177","ENSMUSG00000104209",3605
"178","ENSMUSG00000025932",7808
"179","ENSMUSG00000095853",100
"180","ENSMUSG00000102588",439
"181","ENSMUSG00000054493",3566
"182","ENSMUSG00000025930",2546
"183","ENSMUSG00000103492",4321
"184","ENSMUSG00000081201",288
"185","ENSMUSG00000082193",894
"186","ENSMUSG00000032769",4263
"187","ENSMUSG00000088159",120
"188","ENSMUSG00000073737",996
"189","ENSMUSG00000092083",15165
"190","ENSMUSG00000102937",1533
"191","ENSMUSG00000104149",2089
"192","ENSMUSG00000088829",112
"193","ENSMUSG00000077377",132
"194","ENSMUSG00000101652",251
"195","ENSMUSG00000100814",100
"196","ENSMUSG00000025925",4608
"197","ENSMUSG00000104379",3169
"198","ENSMUSG00000032719",2748
"199","ENSMUSG00000088943",303
"200","ENSMUSG00000100652",553
"201","ENSMUSG00000067795",2063
"202","ENSMUSG00000043716",2687
"203","ENSMUSG00000025921",4160
"204","ENSMUSG00000104165",2321
"205","ENSMUSG00000100868",1515
"206","ENSMUSG00000025920",6747
"207","ENSMUSG00000089982",1003
"208","ENSMUSG00000025939",4930
"209","ENSMUSG00000102457",2980
"210","ENSMUSG00000079658",3026
"211","ENSMUSG00000097744",2788
"212","ENSMUSG00000100959",683
"213","ENSMUSG00000025940",1820
"214","ENSMUSG00000025779",1021
"215","ENSMUSG00000100093",419
"216","ENSMUSG00000091020",1860
"217","ENSMUSG00000101640",176
"218","ENSMUSG00000104133",827
"219","ENSMUSG00000042686",4998
"220","ENSMUSG00000100110",359
"221","ENSMUSG00000025777",7731
"222","ENSMUSG00000099899",1011
"223","ENSMUSG00000100272",379
"224","ENSMUSG00000100398",472
"225","ENSMUSG00000101589",2870
"226","ENSMUSG00000102048",486
"227","ENSMUSG00000089534",111
"228","ENSMUSG00000067780",6923
"229","ENSMUSG00000100053",4218
"230","ENSMUSG00000085125",8345
"231","ENSMUSG00000025776",4515
"232","ENSMUSG00000099895",629
"233","ENSMUSG00000100554",1399
"234","ENSMUSG00000099473",586
"235","ENSMUSG00000099591",2557
"236","ENSMUSG00000109887",2570
"237","ENSMUSG00000102001",199
"238","ENSMUSG00000101717",142
"239","ENSMUSG00000025774",2737
"240","ENSMUSG00000070977",219
"241","ENSMUSG00000073735",258
"242","ENSMUSG00000067773",610
"243","ENSMUSG00000101685",985
"244","ENSMUSG00000101306",909
"245","ENSMUSG00000088800",72
"246","ENSMUSG00000101644",112
"247","ENSMUSG00000099433",279
"248","ENSMUSG00000089787",918
"249","ENSMUSG00000042596",1954
"250","ENSMUSG00000100720",545
"251","ENSMUSG00000025927",6338
"252","ENSMUSG00000100538",202
"253","ENSMUSG00000101117",472
"254","ENSMUSG00000100204",2246
"255","ENSMUSG00000084668",65
"256","ENSMUSG00000102597",2499
"257","ENSMUSG00000043760",14310
"258","ENSMUSG00000104095",3479
"259","ENSMUSG00000089914",788
"260","ENSMUSG00000090142",553
"261","ENSMUSG00000070175",102
"262","ENSMUSG00000099906",5551
"263","ENSMUSG00000065559",73
"264","ENSMUSG00000065480",119
"265","ENSMUSG00000025929",1171
"266","ENSMUSG00000041872",2022
"267","ENSMUSG00000041859",3752
"268","ENSMUSG00000099714",1186
"269","ENSMUSG00000102121",833
"270","ENSMUSG00000088858",132
"271","ENSMUSG00000097934",1120
"272","ENSMUSG00000025931",5488
"273","ENSMUSG00000077314",131
"274","ENSMUSG00000100929",858
"275","ENSMUSG00000041809",2208
"276","ENSMUSG00000041779",6661
"277","ENSMUSG00000099971",546
"278","ENSMUSG00000100819",571
"279","ENSMUSG00000025933",1351
"280","ENSMUSG00000102633",2100
"281","ENSMUSG00000025934",4344
"282","ENSMUSG00000099343",633
"283","ENSMUSG00000096375",366
"284","ENSMUSG00000025936",1365
"285","ENSMUSG00000093963",439
"286","ENSMUSG00000067750",1987
"287","ENSMUSG00000086194",371
"288","ENSMUSG00000094436",228
"289","ENSMUSG00000041722",1946
"290","ENSMUSG00000085507",350
"291","ENSMUSG00000094926",228
"292","ENSMUSG00000085079",2236
"293","ENSMUSG00000085679",196
"294","ENSMUSG00000028033",7689
"295","ENSMUSG00000104138",2327
"296","ENSMUSG00000082935",1124
"297","ENSMUSG00000103748",1567
"298","ENSMUSG00000097109",2095
"299","ENSMUSG00000099692",552
"300","ENSMUSG00000100418",447
"301","ENSMUSG00000041670",7362
"302","ENSMUSG00000097642",802
"303","ENSMUSG00000101468",921
"304","ENSMUSG00000101227",2078
"305","ENSMUSG00000073730",1781
"306","ENSMUSG00000089553",121
"307","ENSMUSG00000102766",723
"308","ENSMUSG00000065405",71
"309","ENSMUSG00000097970",399
"310","ENSMUSG00000065567",84
"311","ENSMUSG00000100775",347
"312","ENSMUSG00000101226",644
"313","ENSMUSG00000026158",8109
"314","ENSMUSG00000097920",989
"315","ENSMUSG00000099503",778
"316","ENSMUSG00000026156",6203
"317","ENSMUSG00000026155",3575
"318","ENSMUSG00000026154",874
"319","ENSMUSG00000102495",390
"320","ENSMUSG00000026153",7773
"321","ENSMUSG00000102398",2800
"322","ENSMUSG00000097670",867
"323","ENSMUSG00000026147",5068
"324","ENSMUSG00000026141",6887
"325","ENSMUSG00000077463",137
"326","ENSMUSG00000099997",1337
"327","ENSMUSG00000100131",876
"328","ENSMUSG00000067736",294
"329","ENSMUSG00000101939",345
"330","ENSMUSG00000101111",783
"331","ENSMUSG00000100862",678
"332","ENSMUSG00000102070",681
"333","ENSMUSG00000101249",492
"334","ENSMUSG00000073725",5960
"335","ENSMUSG00000100808",661
"336","ENSMUSG00000100483",1216
"337","ENSMUSG00000100450",816
"338","ENSMUSG00000099392",448
"339","ENSMUSG00000033569",18559
"340","ENSMUSG00000080849",444
"341","ENSMUSG00000104257",1551
"342","ENSMUSG00000096866",107
"343","ENSMUSG00000102296",1031
"344","ENSMUSG00000103209",3375
"345","ENSMUSG00000104027",3433
"346","ENSMUSG00000102407",2533
"347","ENSMUSG00000103214",3105
"348","ENSMUSG00000104100",3257
"349","ENSMUSG00000084740",104
"350","ENSMUSG00000103889",2935
"351","ENSMUSG00000101301",570
"352","ENSMUSG00000104221",2943
"353","ENSMUSG00000102250",3995
"354","ENSMUSG00000102317",5440
"355","ENSMUSG00000103563",2741
"356","ENSMUSG00000102465",3581
"357","ENSMUSG00000102659",3691
"358","ENSMUSG00000103924",4550
"359","ENSMUSG00000104132",3625
"360","ENSMUSG00000102747",3310
"361","ENSMUSG00000102386",1017
"362","ENSMUSG00000103004",330
"363","ENSMUSG00000104516",1222
"364","ENSMUSG00000101618",556
"365","ENSMUSG00000099458",651
"366","ENSMUSG00000088111",106
"367","ENSMUSG00000073722",4318
"368","ENSMUSG00000095256",119
"369","ENSMUSG00000100310",417
"370","ENSMUSG00000101514",2002
"371","ENSMUSG00000101033",654
"372","ENSMUSG00000101372",1873
"373","ENSMUSG00000103241",1514
"374","ENSMUSG00000086240",274
"375","ENSMUSG00000048411",2887
"376","ENSMUSG00000081557",2482
"377","ENSMUSG00000058590",304
"378","ENSMUSG00000101235",550
"379","ENSMUSG00000064433",112
"380","ENSMUSG00000080625",100
"381","ENSMUSG00000080391",96
"382","ENSMUSG00000099257",125
"383","ENSMUSG00000099492",1312
"384","ENSMUSG00000101726",622
"385","ENSMUSG00000096829",110
"386","ENSMUSG00000098883",107
"387","ENSMUSG00000053185",1161
"388","ENSMUSG00000100261",1210
"389","ENSMUSG00000101180",328
"390","ENSMUSG00000048874",14190
"391","ENSMUSG00000103783",2884
"392","ENSMUSG00000104315",3035
"393","ENSMUSG00000026064",5763
"394","ENSMUSG00000086151",724
"395","ENSMUSG00000086726",727
"396","ENSMUSG00000087346",723
"397","ENSMUSG00000100371",881
"398","ENSMUSG00000100237",585
"399","ENSMUSG00000098529",138
"400","ENSMUSG00000086727",1516
"401","ENSMUSG00000100910",2858
"402","ENSMUSG00000099796",225
"403","ENSMUSG00000050217",1937
"404","ENSMUSG00000026063",1451
"405","ENSMUSG00000077664",127
"406","ENSMUSG00000100205",559
"407","ENSMUSG00000100592",564
"408","ENSMUSG00000094215",696
"409","ENSMUSG00000101093",1337
"410","ENSMUSG00000070960",1513
"411","ENSMUSG00000088620",107
"412","ENSMUSG00000082159",835
"413","ENSMUSG00000026058",10291
"414","ENSMUSG00000064688",107
"415","ENSMUSG00000103482",1809
"416","ENSMUSG00000104498",1628
"417","ENSMUSG00000104313",1545
"418","ENSMUSG00000102865",1437
"419","ENSMUSG00000102321",3413
"420","ENSMUSG00000091318",3609
"421","ENSMUSG00000089489",63
"422","ENSMUSG00000104433",2470
"423","ENSMUSG00000089395",292
"424","ENSMUSG00000102926",5007
"425","ENSMUSG00000100497",2131
"426","ENSMUSG00000102917",1221
"427","ENSMUSG00000100481",1789
"428","ENSMUSG00000100590",751
"429","ENSMUSG00000088750",110
"430","ENSMUSG00000104230",650
"431","ENSMUSG00000101754",1693
"432","ENSMUSG00000065223",100
"433","ENSMUSG00000100318",913
"434","ENSMUSG00000101612",2255
"435","ENSMUSG00000065260",106
"436","ENSMUSG00000026134",5938
"437","ENSMUSG00000101682",418
"438","ENSMUSG00000102714",3075
"439","ENSMUSG00000102093",328
"440","ENSMUSG00000103746",889
"441","ENSMUSG00000102198",2314
"442","ENSMUSG00000004768",8285
"443","ENSMUSG00000042215",3059
"444","ENSMUSG00000103072",341
"445","ENSMUSG00000042197",15839
"446","ENSMUSG00000081402",2557
"447","ENSMUSG00000042182",3421
"448","ENSMUSG00000104416",1628
"449","ENSMUSG00000026131",41155
"450","ENSMUSG00000103596",2384
"451","ENSMUSG00000099382",334
"452","ENSMUSG00000084506",93
"453","ENSMUSG00000103364",1698
"454","ENSMUSG00000105982",73
"455","ENSMUSG00000096992",4782
"456","ENSMUSG00000103001",1247
"457","ENSMUSG00000104397",430
"458","ENSMUSG00000102839",387
"459","ENSMUSG00000101206",1162
"460","ENSMUSG00000101462",2937
"461","ENSMUSG00000102336",6263
"462","ENSMUSG00000092852",79
"463","ENSMUSG00000042111",2543
"464","ENSMUSG00000101711",529
"465","ENSMUSG00000026127",8553
"466","ENSMUSG00000026126",6492
"467","ENSMUSG00000100280",2409
"468","ENSMUSG00000101223",1298
"469","ENSMUSG00000026125",1333
"470","ENSMUSG00000101116",292
"471","ENSMUSG00000026124",1040
"472","ENSMUSG00000101803",475
"473","ENSMUSG00000037529",2105
"474","ENSMUSG00000045815",510
"475","ENSMUSG00000045174",4392
"476","ENSMUSG00000100524",423
"477","ENSMUSG00000102499",235
"478","ENSMUSG00000103521",1396
"479","ENSMUSG00000104098",646
"480","ENSMUSG00000037509",9861
"481","ENSMUSG00000102537",148
"482","ENSMUSG00000102612",355
"483","ENSMUSG00000104002",2549
"484","ENSMUSG00000037503",5219
"485","ENSMUSG00000104358",3036
"486","ENSMUSG00000026123",7987
"487","ENSMUSG00000103716",2137
"488","ENSMUSG00000103548",229
"489","ENSMUSG00000103760",436
"490","ENSMUSG00000103997",235
"491","ENSMUSG00000077231",129
"492","ENSMUSG00000104417",640
"493","ENSMUSG00000064601",105
"494","ENSMUSG00000101714",452
"495","ENSMUSG00000102531",566
"496","ENSMUSG00000103096",904
"497","ENSMUSG00000102279",463
"498","ENSMUSG00000103708",761
"499","ENSMUSG00000104201",425
"500","ENSMUSG00000102434",1372
"501","ENSMUSG00000045216",5542
"502","ENSMUSG00000104523",447
"503","ENSMUSG00000102202",4340
"504","ENSMUSG00000037470",12853
"505","ENSMUSG00000098752",62
"506","ENSMUSG00000047180",3217
"507","ENSMUSG00000037447",12540
"508","ENSMUSG00000102762",713
"509","ENSMUSG00000010453",6742
"510","ENSMUSG00000098680",77
"511","ENSMUSG00000037432",6356
"512","ENSMUSG00000001143",7359
"513","ENSMUSG00000037408",4829
"514","ENSMUSG00000104316",2159
"515","ENSMUSG00000106081",141
"516","ENSMUSG00000001138",6420
"517","ENSMUSG00000102845",269
"518","ENSMUSG00000067653",2697
"519","ENSMUSG00000109510",2327
"520","ENSMUSG00000079610",4654
"521","ENSMUSG00000026121",4593
"522","ENSMUSG00000087589",2830
"523","ENSMUSG00000046337",3190
"524","ENSMUSG00000089906",345
"525","ENSMUSG00000077939",75
"526","ENSMUSG00000061518",1587
"527","ENSMUSG00000037351",4274
"528","ENSMUSG00000102416",1744
"529","ENSMUSG00000104237",1633
"530","ENSMUSG00000026117",2992
"531","ENSMUSG00000097291",1012
"532","ENSMUSG00000026116",9413
"533","ENSMUSG00000103016",143
"534","ENSMUSG00000102930",2413
"535","ENSMUSG00000103159",3552
"536","ENSMUSG00000080054",498
"537","ENSMUSG00000095944",119
"538","ENSMUSG00000050122",5386
"539","ENSMUSG00000103603",992
"540","ENSMUSG00000026114",3957
"541","ENSMUSG00000102231",346
"542","ENSMUSG00000026113",10387
"543","ENSMUSG00000086064",861
"544","ENSMUSG00000102879",534
"545","ENSMUSG00000026112",5220
"546","ENSMUSG00000026111",1579
"547","ENSMUSG00000026110",12881
"548","ENSMUSG00000103948",2755
"549","ENSMUSG00000087233",1790
"550","ENSMUSG00000026090",5075
"551","ENSMUSG00000089767",560
"552","ENSMUSG00000104365",1926
"553","ENSMUSG00000102650",2218
"554","ENSMUSG00000060771",10662
"555","ENSMUSG00000097268",3089
"556","ENSMUSG00000037216",2051
"557","ENSMUSG00000026088",2770
"558","ENSMUSG00000026087",3226
"559","ENSMUSG00000061584",2564
"560","ENSMUSG00000087374",3990
"561","ENSMUSG00000026085",888
"562","ENSMUSG00000089141",237
"563","ENSMUSG00000058407",9102
"564","ENSMUSG00000026083",9753
"565","ENSMUSG00000026082",6168
"566","ENSMUSG00000103804",701
"567","ENSMUSG00000102716",1848
"568","ENSMUSG00000037138",6654
"569","ENSMUSG00000085391",912
"570","ENSMUSG00000085280",639
"571","ENSMUSG00000087131",1853
"572","ENSMUSG00000102984",529
"573","ENSMUSG00000102541",502
"574","ENSMUSG00000103531",503
"575","ENSMUSG00000048814",7506
"576","ENSMUSG00000026080",11964
"577","ENSMUSG00000103647",325
"578","ENSMUSG00000102447",772
"579","ENSMUSG00000067604",1001
"580","ENSMUSG00000026078",4219
"581","ENSMUSG00000103046",1639
"582","ENSMUSG00000104188",1843
"583","ENSMUSG00000103182",2087
"584","ENSMUSG00000098833",97
"585","ENSMUSG00000026077",4791
"586","ENSMUSG00000092553",283
"587","ENSMUSG00000092563",555
"588","ENSMUSG00000073702",1662
"589","ENSMUSG00000003134",5239
"590","ENSMUSG00000102607",885
"591","ENSMUSG00000104827",216
"592","ENSMUSG00000065629",215
"593","ENSMUSG00000003135",3508
"594","ENSMUSG00000085894",1832
"595","ENSMUSG00000077704",110
"596","ENSMUSG00000048234",2838
"597","ENSMUSG00000064936",130
"598","ENSMUSG00000102471",589
"599","ENSMUSG00000050967",6091
"600","ENSMUSG00000097083",3663
"601","ENSMUSG00000057173",2139
"602","ENSMUSG00000091937",352
"603","ENSMUSG00000101634",1068
"604","ENSMUSG00000026074",9579
"605","ENSMUSG00000102985",1330
"606","ENSMUSG00000026073",1908
"607","ENSMUSG00000097899",842
"608","ENSMUSG00000102975",3071
"609","ENSMUSG00000026072",6363
"610","ENSMUSG00000103560",6480
"611","ENSMUSG00000070942",6812
"612","ENSMUSG00000103230",685
"613","ENSMUSG00000026069",6894
"614","ENSMUSG00000026070",4817
"615","ENSMUSG00000026068",6752
"616","ENSMUSG00000104441",479
"617","ENSMUSG00000026065",4562
"618","ENSMUSG00000102676",3947
"619","ENSMUSG00000026062",6984
"620","ENSMUSG00000103679",803
"621","ENSMUSG00000103270",3261
"622","ENSMUSG00000041945",5125
"623","ENSMUSG00000079588",2716
"624","ENSMUSG00000094136",496
"625","ENSMUSG00000104072",546
"626","ENSMUSG00000100185",2613
"627","ENSMUSG00000100832",3198
"628","ENSMUSG00000100178",1045
"629","ENSMUSG00000101877",1099
"630","ENSMUSG00000053640",1383
"631","ENSMUSG00000101919",463
"632","ENSMUSG00000101299",1734
"633","ENSMUSG00000100180",1271
"634","ENSMUSG00000103106",533
"635","ENSMUSG00000060424",4458
"636","ENSMUSG00000104199",676
"637","ENSMUSG00000093436",1712
"638","ENSMUSG00000045515",7409
"639","ENSMUSG00000097063",1257
"640","ENSMUSG00000099784",2170
"641","ENSMUSG00000060679",5763
"642","ENSMUSG00000077448",134
"643","ENSMUSG00000041907",7238
"644","ENSMUSG00000089088",85
"645","ENSMUSG00000070939",10972
"646","ENSMUSG00000100269",414
"647","ENSMUSG00000041878",1248
"648","ENSMUSG00000010290",3458
"649","ENSMUSG00000008136",1897
"650","ENSMUSG00000094497",483
"651","ENSMUSG00000099576",1188
"652","ENSMUSG00000099694",453
"653","ENSMUSG00000101923",380
"654","ENSMUSG00000066877",4455
"655","ENSMUSG00000103422",2491
"656","ENSMUSG00000103945",1293
"657","ENSMUSG00000026051",902
"658","ENSMUSG00000100764",458
"659","ENSMUSG00000100635",612
"660","ENSMUSG00000100480",499
"661","ENSMUSG00000057363",5097
"662","ENSMUSG00000090243",1279
"663","ENSMUSG00000100701",545
"664","ENSMUSG00000101395",816
"665","ENSMUSG00000088848",125
"666","ENSMUSG00000095757",110
"667","ENSMUSG00000041763",10078
"668","ENSMUSG00000047343",4300
"669","ENSMUSG00000090106",180
"670","ENSMUSG00000091844",5985
"671","ENSMUSG00000026049",1926
"672","ENSMUSG00000101104",676
"673","ENSMUSG00000026047",3199
"674","ENSMUSG00000041684",4206
"675","ENSMUSG00000026048",5864
"676","ENSMUSG00000046828",3961
"677","ENSMUSG00000089703",957
"678","ENSMUSG00000100966",989
"679","ENSMUSG00000100769",1108
"680","ENSMUSG00000101567",309
"681","ENSMUSG00000056870",3758
"682","ENSMUSG00000102319",4563
"683","ENSMUSG00000089877",420
"684","ENSMUSG00000101701",905
"685","ENSMUSG00000103071",1551
"686","ENSMUSG00000100434",528
"687","ENSMUSG00000100013",667
"688","ENSMUSG00000101251",745
"689","ENSMUSG00000101937",940
"690","ENSMUSG00000026043",9816
"691","ENSMUSG00000105211",141
"692","ENSMUSG00000026042",9591
"693","ENSMUSG00000104476",7217
"694","ENSMUSG00000100218",524
"695","ENSMUSG00000100361",981
"696","ENSMUSG00000100894",584
"697","ENSMUSG00000095121",107
"698","ENSMUSG00000065255",131
"699","ENSMUSG00000100843",1150
"700","ENSMUSG00000087764",203
"701","ENSMUSG00000025995",4900
"702","ENSMUSG00000099850",1779
"703","ENSMUSG00000084817",423
"704","ENSMUSG00000098549",749
"705","ENSMUSG00000099381",1176
"706","ENSMUSG00000025993",9000
"707","ENSMUSG00000099946",1601
"708","ENSMUSG00000070896",465
"709","ENSMUSG00000090682",264
"710","ENSMUSG00000044457",4667
"711","ENSMUSG00000099432",560
"712","ENSMUSG00000041144",19980
"713","ENSMUSG00000096047",119
"714","ENSMUSG00000101262",1953
"715","ENSMUSG00000101337",12603
"716","ENSMUSG00000025986",6095
"717","ENSMUSG00000100213",951
"718","ENSMUSG00000103129",3870
"719","ENSMUSG00000100160",297
"720","ENSMUSG00000101921",238
"721","ENSMUSG00000101447",488
"722","ENSMUSG00000081185",729
"723","ENSMUSG00000103246",1942
"724","ENSMUSG00000098876",105
"725","ENSMUSG00000100530",742
"726","ENSMUSG00000104067",906
"727","ENSMUSG00000100033",1938
"728","ENSMUSG00000094968",121
"729","ENSMUSG00000088017",270
"730","ENSMUSG00000101996",827
"731","ENSMUSG00000096973",986
"732","ENSMUSG00000064943",121
"733","ENSMUSG00000100866",213
"734","ENSMUSG00000101721",1373
"735","ENSMUSG00000099376",832
"736","ENSMUSG00000097883",1011
"737","ENSMUSG00000092790",442
"738","ENSMUSG00000099698",215
"739","ENSMUSG00000099454",887
"740","ENSMUSG00000051616",582
"741","ENSMUSG00000099627",1706
"742","ENSMUSG00000099577",440
"743","ENSMUSG00000099882",437
"744","ENSMUSG00000101760",704
"745","ENSMUSG00000099608",1493
"746","ENSMUSG00000099864",726
"747","ENSMUSG00000098249",132
"748","ENSMUSG00000100451",528
"749","ENSMUSG00000099941",162
"750","ENSMUSG00000084531",314
"751","ENSMUSG00000100816",2327
"752","ENSMUSG00000026109",6707
"753","ENSMUSG00000100671",1475
"754","ENSMUSG00000092906",101
"755","ENSMUSG00000101242",226
"756","ENSMUSG00000099924",2273
"757","ENSMUSG00000099625",2528
"758","ENSMUSG00000101799",2552
"759","ENSMUSG00000045954",3055
"760","ENSMUSG00000099741",1025
"761","ENSMUSG00000101702",548
"762","ENSMUSG00000026107",8498
"763","ENSMUSG00000099413",3979
"764","ENSMUSG00000103424",2365
"765","ENSMUSG00000101741",1420
"766","ENSMUSG00000018417",10792
"767","ENSMUSG00000101724",1279
"768","ENSMUSG00000100313",2499
"769","ENSMUSG00000100696",412
"770","ENSMUSG00000099135",122
"771","ENSMUSG00000072324",598
"772","ENSMUSG00000062939",3872
"773","ENSMUSG00000101628",3532
"774","ENSMUSG00000078291",432
"775","ENSMUSG00000109599",1170
"776","ENSMUSG00000026104",7105
"777","ENSMUSG00000099569",888
"778","ENSMUSG00000026103",15057
"779","ENSMUSG00000099648",1399
"780","ENSMUSG00000065192",109
"781","ENSMUSG00000002881",4100
"782","ENSMUSG00000097833",996
"783","ENSMUSG00000101501",463
"784","ENSMUSG00000100120",701
"785","ENSMUSG00000099878",2943
"786","ENSMUSG00000100007",642
"787","ENSMUSG00000043015",7078
"788","ENSMUSG00000103630",2085
"789","ENSMUSG00000041439",8231
"790","ENSMUSG00000100302",2491
"791","ENSMUSG00000100230",411
"792","ENSMUSG00000026102",6460
"793","ENSMUSG00000041426",6059
"794","ENSMUSG00000089802",862
"795","ENSMUSG00000043629",4330
"796","ENSMUSG00000026100",2705
